,Season,FixtureKey
0,2004,
1,2004,/boxscores/200310280SAS.html
2,,/boxscores/200310290BOS.html
3,2004,/boxscores/200310290CHI.html
4,2004,/boxscores/200310290DEN.html
5,2004,/boxscores/200310290DET.html
6,2004,/boxscores/200310290GSW.html
7,2004,/boxscores/200310290MIN.html
8,2004,/boxscores/200310290NOH.html
9,2004,/boxscores/200310290NYK.html
10,2004,/boxscores/200310290SAC.html
11,2004,/boxscores/200310290TOR.html
12,2004,/boxscores/200310290UTA.html
13,2004,/boxscores/200310300HOU.html
14,2004,/boxscores/200310300ORL.html
15,2004,/boxscores/200310300PHO.html
16,2004,/boxscores/200310300SEA.html
17,2004,/boxscores/200310310CHI.html
18,2004,/boxscores/200310310IND.html
19,2004,/boxscores/200310310LAC.html
20,2004,/boxscores/200310310MEM.html
21,2004,/boxscores/200310310MIA.html
22,2004,/boxscores/200310310NJN.html
23,2004,/boxscores/200310310SAC.html
24,2004,/boxscores/200310310TOR.html
25,2004,/boxscores/200311010ATL.html
26,2004,/boxscores/200311010DAL.html
27,2004,/boxscores/200311010DEN.html
28,2004,/boxscores/200311010GSW.html
29,2004,/boxscores/200311010HOU.html
30,2004,/boxscores/200311010MIL.html
31,2004,/boxscores/200311010MIN.html
32,2004,/boxscores/200311010NOH.html
33,2004,/boxscores/200311010ORL.html
34,2004,/boxscores/200311010PHO.html
35,2004,/boxscores/200311010POR.html
36,2004,/boxscores/200311010SAS.html
37,2004,/boxscores/200311010WAS.html
38,2004,/boxscores/200311020LAL.html
39,2004,/boxscores/200311030ATL.html
40,2004,/boxscores/200311030CHI.html
41,2004,/boxscores/200311030DAL.html
42,2004,/boxscores/200311030MEM.html
43,2004,/boxscores/200311030ORL.html
44,2004,/boxscores/200311030POR.html
45,2004,/boxscores/200311030UTA.html
46,2004,/boxscores/200311040IND.html
47,2004,/boxscores/200311040MIL.html
48,2004,/boxscores/200311040NJN.html
49,2004,/boxscores/200311040SAS.html
50,2004,/boxscores/200311050CLE.html
51,2004,/boxscores/200311050DET.html
52,2004,/boxscores/200311050GSW.html
53,2004,/boxscores/200311050MIN.html
54,2004,/boxscores/200311050NYK.html
55,2004,/boxscores/200311050ORL.html
56,2004,/boxscores/200311050PHI.html
57,2004,/boxscores/200311050POR.html
58,2004,/boxscores/200311050UTA.html
59,2004,/boxscores/200311050WAS.html
60,2004,/boxscores/200311060NJN.html
61,2004,/boxscores/200311060SAS.html
62,2004,/boxscores/200311060TOR.html
63,2004,/boxscores/200311070BOS.html
64,2004,/boxscores/200311070CHI.html
65,2004,/boxscores/200311070DEN.html
66,2004,/boxscores/200311070DET.html
67,2004,/boxscores/200311070GSW.html
68,2004,/boxscores/200311070IND.html
69,2004,/boxscores/200311070NOH.html
70,2004,/boxscores/200311070NYK.html
71,2004,/boxscores/200311070ORL.html
72,2004,/boxscores/200311070PHO.html
73,2004,/boxscores/200311070SEA.html
74,2004,/boxscores/200311070WAS.html
75,2004,/boxscores/200311080CLE.html
76,2004,/boxscores/200311080HOU.html
77,2004,/boxscores/200311080MIA.html
78,2004,/boxscores/200311080MIL.html
79,2004,/boxscores/200311080NOH.html
80,2004,/boxscores/200311080POR.html
81,2004,/boxscores/200311080SAS.html
82,2004,/boxscores/200311080UTA.html
83,2004,/boxscores/200311090BOS.html
84,2004,/boxscores/200311090DET.html
85,2004,/boxscores/200311090PHI.html
86,2004,/boxscores/200311090SEA.html
87,2004,/boxscores/200311090TOR.html
88,2004,/boxscores/200311100CHI.html
89,2004,/boxscores/200311100CLE.html
90,2004,/boxscores/200311100GSW.html
91,2004,/boxscores/200311100MEM.html
92,2004,/boxscores/200311100SAS.html
93,2004,/boxscores/200311110DAL.html
94,2004,/boxscores/200311110HOU.html
95,2004,/boxscores/200311110IND.html
96,2004,/boxscores/200311110LAC.html
97,2004,/boxscores/200311110MIN.html
98,2004,/boxscores/200311110POR.html
99,2004,/boxscores/200311110SAC.html
100,2004,/boxscores/200311110WAS.html
101,2004,/boxscores/200311120BOS.html
102,2004,/boxscores/200311120GSW.html
103,2004,/boxscores/200311120LAL.html
104,2004,/boxscores/200311120MIA.html
105,2004,/boxscores/200311120MIL.html
106,2004,/boxscores/200311120NJN.html
107,2004,/boxscores/200311120NOH.html
108,2004,/boxscores/200311120ORL.html
109,2004,/boxscores/200311120PHO.html
110,2004,/boxscores/200311130CHI.html
111,2004,/boxscores/200311130DAL.html
112,2004,/boxscores/200311130POR.html
113,2004,/boxscores/200311140BOS.html
114,2004,/boxscores/200311140DEN.html
115,2004,/boxscores/200311140GSW.html
116,2004,/boxscores/200311140HOU.html
117,2004,/boxscores/200311140IND.html
118,2004,/boxscores/200311140LAL.html
119,2004,/boxscores/200311140MIA.html
120,2004,/boxscores/200311140MIN.html
121,2004,/boxscores/200311140NJN.html
122,2004,/boxscores/200311140PHI.html
123,2004,/boxscores/200311140SAC.html
124,2004,/boxscores/200311150ATL.html
125,2004,/boxscores/200311150CHI.html
126,2004,/boxscores/200311150CLE.html
127,2004,/boxscores/200311150LAC.html
128,2004,/boxscores/200311150MEM.html
129,2004,/boxscores/200311150MIL.html
130,2004,/boxscores/200311150NOH.html
131,2004,/boxscores/200311150NYK.html
132,2004,/boxscores/200311150PHO.html
133,2004,/boxscores/200311150WAS.html
134,2004,/boxscores/200311160LAL.html
135,2004,/boxscores/200311160SAC.html
136,2004,/boxscores/200311160TOR.html
137,2004,/boxscores/200311170ATL.html
138,2004,/boxscores/200311170DAL.html
139,2004,/boxscores/200311170NYK.html
140,2004,/boxscores/200311170PHI.html
141,2004,/boxscores/200311170UTA.html
142,2004,/boxscores/200311180CLE.html
143,2004,/boxscores/200311180DET.html
144,2004,/boxscores/200311180MIL.html
145,2004,/boxscores/200311180MIN.html
146,2004,/boxscores/200311180NJN.html
147,2004,/boxscores/200311180PHO.html
148,2004,/boxscores/200311180SAS.html
149,2004,/boxscores/200311180SEA.html
150,2004,/boxscores/200311190BOS.html
151,2004,/boxscores/200311190DEN.html
152,2004,/boxscores/200311190HOU.html
153,2004,/boxscores/200311190IND.html
